ID,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
1,Kevin Durant,BKN,33,27,20,7,37.0,29.7,10.8,20.6,52.3,1.9,4.9,38.2,6.3,7.1,88.6,0.5,7.4,7.9,5.9,3.2,0.6,0.9,1.8,49.2,10,2,4.9
2,Trae Young,ATL,23,29,14,15,34.2,27.3,9.5,20.6,46.0,2.7,7.1,37.7,5.6,6.3,89.1,0.8,3.2,4.0,9.3,4.1,1.0,0.1,1.7,45.4,15,0,2.9
3,Giannis Antetokounmpo,MIL,27,26,17,9,32.6,27.0,9.5,18.0,52.9,1.1,3.8,28.0,6.9,10.1,68.1,2.0,9.5,11.6,5.8,3.3,1.1,1.6,3.0,54.4,16,1,7.6
4,Stephen Curry,GSW,33,28,23,5,34.3,27.0,8.7,20.3,43.0,5.4,13.5,39.8,4.2,4.5,92.9,0.7,4.8,5.5,6.1,3.4,1.6,0.5,2.0,45.5,6,1,11.3
5,DeMar DeRozan,CHI,32,25,17,8,35.2,26.8,9.5,19.2,49.6,0.8,2.4,33.3,7.0,7.8,89.3,0.6,4.6,5.2,4.2,2.1,0.9,0.4,2.3,41.1,1,0,6.1
6,Nikola Jokic,DEN,26,24,14,10,32.6,26.3,10.3,17.5,59.0,1.7,4.4,38.1,4.0,5.3,75.4,2.4,11.1,13.5,7.5,3.4,1.3,0.7,2.6,56.3,21,6,8.6
7,Jayson Tatum,BOS,23,30,15,15,36.5,26.2,9.2,21.8,42.3,2.9,8.6,33.2,4.8,5.9,81.9,1.1,7.5,8.6,3.6,2.7,0.9,0.7,2.4,44.1,10,0,2.8
8,Zach LaVine,CHI,26,27,17,10,35.1,26.0,9.5,19.4,49.0,2.9,7.5,39.1,4.1,4.8,84.6,0.3,5.0,5.3,4.2,2.7,0.5,0.3,1.6,38.6,0,0,1.0
9,LeBron James,LAL,36,19,11,8,37.2,25.9,9.7,19.4,50.1,2.7,7.7,34.7,3.8,5.0,75.8,0.7,5.9,6.6,6.8,3.7,1.7,1.0,2.4,48.4,8,2,1.6
10,Luka Doncic,DAL,22,21,12,9,35.0,25.6,9.5,21.3,44.7,2.7,8.3,32.6,3.9,5.5,69.8,0.8,7.2,8.0,8.5,4.6,1.0,0.5,2.5,48.1,12,2,-4.0
11,Donovan Mitchell,UTA,25,28,19,9,32.5,25.2,9.4,20.3,46.0,3.3,9.4,34.6,3.2,3.6,88.2,0.8,2.9,3.7,5.0,3.0,1.7,0.2,2.4,39.8,0,0,8.3
12,Paul George,LAC,31,24,13,11,35.9,25.0,9.2,21.7,42.2,2.7,8.4,31.8,4.0,4.5,88.0,0.4,6.9,7.3,5.4,4.3,1.9,0.4,2.6,44.3,6,0,1.2
13,Karl-Anthony Towns,MIN,26,29,15,14,34.4,24.4,8.6,17.0,50.6,2.4,5.7,41.8,4.8,5.8,82.2,2.9,6.1,9.0,3.4,3.4,1.1,1.1,3.7,43.4,14,0,2.9
14,Joel Embiid,PHI,27,19,12,7,33.1,24.3,7.5,16.9,44.5,1.3,3.4,36.9,7.9,9.9,79.9,1.6,9.3,10.9,4.3,2.6,1.1,1.3,2.7,48.3,8,0,3.6
15,Ja Morant,MEM,22,19,9,10,32.6,24.1,8.9,18.8,47.6,1.6,4.6,35.6,4.6,5.9,77.7,1.3,4.3,5.6,6.8,3.2,1.6,0.3,1.3,43.4,4,0,-4.4
16,Brandon Ingram,NOP,24,24,10,14,35.6,23.3,8.5,19.1,44.8,1.8,5.0,36.1,4.5,5.4,82.3,0.8,5.5,6.2,4.9,2.9,0.7,0.4,2.1,38.3,2,0,-1.7
