ID,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
1,Kevin Durant,BKN,33,27,20,7,37.0,29.7,10.8,20.6,52.3,1.9,4.9,38.2,6.3,7.1,88.6,0.5,7.4,7.9,5.9,3.2,0.6,0.9,1.8,49.2,10,2,4.9
2,Giannis Antetokounmpo,MIL,27,26,17,9,32.6,27.0,9.5,18.0,52.9,1.1,3.8,28.0,6.9,10.1,68.1,2.0,9.5,11.6,5.8,3.3,1.1,1.6,3.0,54.4,16,1,7.6
3,Trae Young,ATL,23,28,14,14,34.2,27.0,9.4,20.4,46.1,2.8,7.2,38.3,5.5,6.2,89.0,0.9,3.2,4.1,9.3,4.1,1.0,0.1,1.7,45.0,14,0,3.1
4,Stephen Curry,GSW,33,27,22,5,34.3,26.9,8.7,20.3,43.1,5.4,13.4,39.9,4.0,4.3,92.3,0.7,4.8,5.5,6.1,3.3,1.6,0.5,1.9,45.7,6,1,12.1
5,Nikola Jokic,DEN,26,23,13,10,32.9,26.6,10.4,17.7,58.8,1.7,4.5,37.9,4.0,5.3,74.8,2.4,11.2,13.6,7.5,3.4,1.3,0.7,2.5,56.7,20,6,8.4
6,DeMar DeRozan,CHI,32,24,16,8,35.3,26.4,9.5,19.0,49.8,0.8,2.5,33.3,6.6,7.5,88.8,0.6,4.7,5.3,4.1,2.0,0.9,0.4,2.3,40.7,1,0,6.1
7,Jayson Tatum,BOS,23,28,14,14,36.3,26.2,9.3,21.9,42.3,2.9,8.4,33.9,4.8,6.0,80.8,1.1,7.5,8.6,3.6,2.8,1.0,0.8,2.4,44.3,10,0,3.0
8,LeBron James,LAL,36,17,11,6,37.1,26.1,9.9,19.7,50.4,2.8,7.9,35.8,3.4,4.5,76.3,0.6,5.3,5.9,6.9,3.6,1.8,0.9,2.1,48.0,6,2,2.5
9,Zach LaVine,CHI,26,27,17,10,35.1,26.0,9.5,19.4,49.0,2.9,7.5,39.1,4.1,4.8,84.6,0.3,5.0,5.3,4.2,2.7,0.5,0.3,1.6,38.6,0,0,1.0
10,Luka Doncic,DAL,22,21,12,9,35.0,25.6,9.5,21.3,44.7,2.7,8.3,32.6,3.9,5.5,69.8,0.8,7.2,8.0,8.5,4.6,1.0,0.5,2.5,48.1,12,2,-4.0
11,Paul George,LAC,31,24,13,11,35.9,25.0,9.2,21.7,42.2,2.7,8.4,31.8,4.0,4.5,88.0,0.4,6.9,7.3,5.4,4.3,1.9,0.4,2.6,44.3,6,0,1.2
12,Donovan Mitchell,UTA,25,26,19,7,32.4,24.8,9.2,20.0,46.1,3.2,9.2,35.0,3.2,3.6,88.2,0.8,2.8,3.7,5.0,3.0,1.7,0.2,2.4,39.5,0,0,9.3
